Location,Year,outdoor_particulate_matter,indoor_air_pollution,outdoor_ozone_pollution,air_pollution
Afghanistan,2017,45.73766239,134.9937531,5.810624892,183.9413871
Albania,2017,20.83739279,18.28075417,1.803883519,40.48112425
Algeria,2017,41.97623323,0.191766503,2.052063536,43.68351173
American Samoa,2017,38.62055628,20.31779722,0.001434633,58.93948537
Andean Latin America,2017,21.47181719,10.68905781,0.802404539,32.77592701
Andorra,2017,13.08853102,0.165664162,2.708944277,15.56947846
Angola,2017,29.75929262,62.19905799,5.029588394,95.2199092
Antigua and Barbuda,2017,30.90778066,1.435593983,0.012518973,32.35337088
Argentina,2017,27.3380539,2.260202746,1.745889964,31.05788284
Armenia,2017,50.07469349,11.90403664,3.860213646,64.81278003
Australasia,2017,9.829451256,0.09103582,0.606479995,10.45977467
Australia,2017,10.12811059,0.083362775,0.659241943,10.79595183
Austria,2017,15.51928801,0.266582585,2.150996387,17.58634935
Azerbaijan,2017,56.9227866,20.75141979,3.240127486,80.19455282
Bahamas,2017,29.44753377,2.020472157,0.856969511,32.16057828
Bahrain,2017,60.42661075,0.280331589,3.28021338,62.90044938
Bangladesh,2017,41.48537925,61.98537817,8.542990754,108.5254782
Barbados,2017,34.91535429,0.042679749,0.140741811,35.06816141
Belarus,2017,49.2121131,0.692619198,1.008863458,50.71194995
Belgium,2017,17.06045966,0.104423222,2.354590464,19.12751273
Belize,2017,30.91941883,12.17698152,1.455705296,44.21203868
Benin,2017,22.26813856,89.36395534,2.700112176,113.1595756
Bermuda,2017,15.24663007,1.449133422,1.129340293,17.6436257
Bhutan,2017,40.63592738,24.59026121,11.32963327,73.10805519
Bolivia,2017,32.43273565,19.63842884,2.366793908,53.87507204
Bosnia and Herzegovina,2017,34.10666537,22.08164444,2.6083783,58.07743401
Botswana,2017,31.33324547,35.52118004,4.077350275,69.80400608
Brazil,2017,22.94566355,5.583721424,2.150741719,30.32107718
Brunei,2017,19.09333592,0.16086464,1.139826398,20.30087711
Bulgaria,2017,39.32109162,10.24999951,2.329743218,51.39213645
Burkina Faso,2017,21.27612463,111.0732076,1.584887916,133.1826638
Burundi,2017,22.12083842,118.5665404,3.899705554,142.7742077
Cambodia,2017,21.83241823,84.71483473,2.327675127,107.9794976
Cameroon,2017,54.99003408,57.17836064,2.986348064,113.9615145
Canada,2017,9.11073344,0.024770498,1.739718061,10.71661841
Cape Verde,2017,25.4964979,24.63158195,1.004463127,50.81777756
Caribbean,2017,26.70996418,18.59251431,1.450336742,46.42572749
Central African Republic,2017,43.15760017,153.3414568,5.941588544,199.6509972
Central Asia,2017,54.77492589,21.90708545,3.072040152,79.03843944
Central Europe,2017,30.23324073,7.396395104,2.108128187,39.2860961
"Central Europe, Eastern Europe, and Central Asia",2017,41.63921324,6.040145458,1.818695116,49.12751746
Central Latin America,2017,25.61843539,10.28877668,2.785763562,38.07513909
Central Sub-Saharan Africa,2017,31.15296329,97.10208607,5.910979117,131.5987868
Chad,2017,31.13891317,126.1919321,3.591430744,159.147411
Chile,2017,20.4121352,2.937137106,1.213981759,24.29921298
China,2017,49.36714161,15.8036408,11.12328257,72.67678886
Colombia,2017,16.69947541,4.40157515,1.235404513,22.09623922
Comoros,2017,16.15860945,77.29998015,0.843548137,93.98944769
Republic of the Congo,2017,51.35530456,59.20779607,3.782222907,113.0051803
Costa Rica,2017,16.66609543,3.640153354,1.126990059,21.21308224
Cote d'Ivoire,2017,21.82017138,96.25337526,1.256875478,118.8365594
Croatia,2017,26.80349322,4.654715055,2.636935302,33.55207459
Cuba,2017,29.61062874,1.722008769,1.40963722,32.46048102
Cyprus,2017,23.39594606,0.190199365,2.943205787,25.95910461
Czech Republic,2017,27.47477476,0.958861042,2.123831687,30.15992328
Democratic Republic of the Congo,2017,28.20791744,110.9057683,6.548576347,142.6803299
Denmark,2017,16.77503004,0.103695525,2.854666116,19.32488726
Djibouti,2017,46.90101673,32.24147876,2.274099614,80.6963249
Dominica,2017,30.83747323,6.837761311,3.13E-05,37.67525842
Dominican Republic,2017,24.79712076,11.25390844,1.129399653,36.97274516
East Asia,2017,48.70226537,16.57713632,11.19860279,72.82414057
Eastern Europe,2017,44.88414818,1.505015779,1.414941988,47.54567794
Eastern Sub-Saharan Africa,2017,18.84799267,85.13807859,2.11629672,105.1951351
Ecuador,2017,23.44804757,3.113057544,0.703651986,27.13524291
Egypt,2017,109.6162665,0.726384217,4.614963789,113.3555118
El Salvador,2017,28.62946891,16.14333569,1.510195987,45.89819872
England,2017,16.22855707,0.196988607,1.712086414,17.88095104
Equatorial Guinea,2017,38.81393882,38.69715608,1.343968992,78.35860985
Eritrea,2017,35.67072414,94.84387619,3.750114096,132.7004743
Estonia,2017,11.14902884,3.932634445,0.644178341,15.65168687
Ethiopia,2017,17.2425537,70.59407937,1.766512964,88.82900506
Fiji,2017,42.52815292,57.96317382,0.128667006,100.5946678
Finland,2017,7.635161604,0.132150865,0.804794085,8.5074915
France,2017,10.77740994,0.088896866,1.131926392,11.81922211
Gabon,2017,60.28809483,10.87468633,1.248200205,72.05364229
Gambia,2017,26.3111261,106.754078,2.315740791,134.3927706
Georgia,2017,36.63293489,31.72455336,2.933250084,70.5119262
Germany,2017,17.59789792,0.280507779,2.32345556,19.82826478
Ghana,2017,36.15416493,68.40700025,1.358968883,105.4369339
Greece,2017,23.29515964,0.286815452,2.632382698,25.72366268
Greenland,2017,29.00132838,0.595466436,3.620822068,32.67641335
Grenada,2017,44.29541815,4.461085259,0.583961665,49.21216663
Guam,2017,36.46681471,7.626418583,0.177278566,44.24053103
Guatemala,2017,23.51865404,41.7569318,1.014308719,65.97900026
Guinea,2017,18.73494101,140.1710927,2.914433353,160.5037718
Guinea-Bissau,2017,22.98062061,137.3431097,2.67096047,161.798034
Guyana,2017,47.46241977,15.30613367,0.468030246,63.13106941
Haiti,2017,14.98281938,104.3040352,3.299141941,121.3638101
High SDI,2017,15.55139016,0.354243675,2.454885106,17.98873288
High-income,2017,14.3686032,0.226914491,2.366147907,16.63959643
High-income Asia Pacific,2017,11.95518545,0.024428684,1.346610217,13.096471
High-middle SDI,2017,44.24607075,6.118236754,5.24093894,54.03831319
Honduras,2017,15.43252984,34.67178164,1.806754112,51.35947879
Hungary,2017,28.29100413,8.064261557,3.578359678,39.20837155
Iceland,2017,8.2722671,0.135838285,1.686209978,9.946781471
India,2017,70.80343542,51.02743957,17.24029291,131.9940186
